Program,Year,State,State ANSI,Data Item,Value
SURVEY,2017,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4
SURVEY,2017,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.35
SURVEY,2017,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.5
SURVEY,2017,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.2
SURVEY,2017,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.35
SURVEY,2017,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.95
SURVEY,2017,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.15
SURVEY,2017,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.15
SURVEY,2017,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.25
SURVEY,2017,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.35
SURVEY,2017,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.45
SURVEY,2017,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.25
SURVEY,2017,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.25
SURVEY,2017,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.55
SURVEY,2017,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.7
SURVEY,2017,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
SURVEY,2017,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.35
SURVEY,2017,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.05
SURVEY,2017,MISSISSIPPI,28,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.65
SURVEY,2017,MISSOURI,29,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.3
SURVEY,2017,MONTANA,30,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.5
