"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	1772	4430141	40.0
	"1999"	"1999"	"Alaska"	"02"	88	624779	14.1
	"1999"	"1999"	"Arizona"	"04"	1370	5023823	27.3
	"1999"	"1999"	"Arkansas"	"05"	967	2651860	36.5
	"1999"	"1999"	"California"	"06"	8219	33499204	24.5
	"1999"	"1999"	"Colorado"	"08"	954	4226018	22.6
	"1999"	"1999"	"Connecticut"	"09"	1003	3386401	29.6
	"1999"	"1999"	"Delaware"	"10"	258	774990	33.3
	"1999"	"1999"	"District of Columbia"	"11"	276	570213	48.4
	"1999"	"1999"	"Florida"	"12"	5789	15759421	36.7
	"1999"	"1999"	"Georgia"	"13"	2092	8045965	26.0
	"1999"	"1999"	"Hawaii"	"15"	288	1210300	23.8
	"1999"	"1999"	"Idaho"	"16"	360	1275674	28.2
	"1999"	"1999"	"Illinois"	"17"	3961	12359020	32.0
	"1999"	"1999"	"Indiana"	"18"	2178	6044969	36.0
	"1999"	"1999"	"Iowa"	"19"	971	2917634	33.3
	"1999"	"1999"	"Kansas"	"20"	945	2678338	35.3
	"1999"	"1999"	"Kentucky"	"21"	1549	4018053	38.6
	"1999"	"1999"	"Louisiana"	"22"	2143	4460811	48.0
	"1999"	"1999"	"Maine"	"23"	489	1266808	38.6
	"1999"	"1999"	"Maryland"	"24"	1998	5254509	38.0
	"1999"	"1999"	"Massachusetts"	"25"	1970	6317345	31.2
	"1999"	"1999"	"Michigan"	"26"	3596	9897116	36.3
	"1999"	"1999"	"Minnesota"	"27"	1595	4873481	32.7
	"1999"	"1999"	"Mississippi"	"28"	836	2828408	29.6
	"1999"	"1999"	"Missouri"	"29"	2163	5561948	38.9
	"1999"	"1999"	"Montana"	"30"	331	897507	36.9
	"1999"	"1999"	"Nebraska"	"31"	501	1704764	29.4
	"1999"	"1999"	"Nevada"	"32"	407	1934718	21.0
	"1999"	"1999"	"New Hampshire"	"33"	411	1222014	33.6
	"1999"	"1999"	"New Jersey"	"34"	3384	8359592	40.5
	"1999"	"1999"	"New Mexico"	"35"	677	1808082	37.4
	"1999"	"1999"	"New York"	"36"	5025	18882725	26.6
	"1999"	"1999"	"North Carolina"	"37"	2849	7949361	35.8
	"1999"	"1999"	"North Dakota"	"38"	267	644259	41.4
	"1999"	"1999"	"Ohio"	"39"	5140	11335454	45.3
	"1999"	"1999"	"Oklahoma"	"40"	1343	3437147	39.1
	"1999"	"1999"	"Oregon"	"41"	1154	3393941	34.0
	"1999"	"1999"	"Pennsylvania"	"42"	5108	12263805	41.7
	"1999"	"1999"	"Rhode Island"	"44"	351	1040402	33.7
	"1999"	"1999"	"South Carolina"	"45"	1496	3974682	37.6
	"1999"	"1999"	"South Dakota"	"46"	259	750412	34.5
	"1999"	"1999"	"Tennessee"	"47"	2006	5638706	35.6
	"1999"	"1999"	"Texas"	"48"	6578	20558220	32.0
	"1999"	"1999"	"Utah"	"49"	630	2203482	28.6
	"1999"	"1999"	"Vermont"	"50"	240	604683	39.7
	"1999"	"1999"	"Virginia"	"51"	2178	7000174	31.1
	"1999"	"1999"	"Washington"	"53"	1791	5842564	30.7
	"1999"	"1999"	"West Virginia"	"54"	1001	1811799	55.2
	"1999"	"1999"	"Wisconsin"	"55"	1743	5332666	32.7
	"1999"	"1999"	"Wyoming"	"56"	172	491780	35.0
"Total"	"1999"	"1999"			92872	279040168	33.3
	"2000"	"2000"	"Alabama"	"01"	1762	4447100	39.6
	"2000"	"2000"	"Alaska"	"02"	112	626932	17.9
	"2000"	"2000"	"Arizona"	"04"	1359	5130632	26.5
	"2000"	"2000"	"Arkansas"	"05"	997	2673400	37.3
	"2000"	"2000"	"California"	"06"	7894	33871648	23.3
	"2000"	"2000"	"Colorado"	"08"	925	4301261	21.5
	"2000"	"2000"	"Connecticut"	"09"	990	3405565	29.1
	"2000"	"2000"	"Delaware"	"10"	290	783600	37.0
	"2000"	"2000"	"District of Columbia"	"11"	273	572059	47.7
	"2000"	"2000"	"Florida"	"12"	5979	15982378	37.4
	"2000"	"2000"	"Georgia"	"13"	2176	8186453	26.6
	"2000"	"2000"	"Hawaii"	"15"	264	1211537	21.8
	"2000"	"2000"	"Idaho"	"16"	421	1293953	32.5
	"2000"	"2000"	"Illinois"	"17"	4014	12419293	32.3
	"2000"	"2000"	"Indiana"	"18"	2238	6080485	36.8
	"2000"	"2000"	"Iowa"	"19"	892	2926324	30.5
	"2000"	"2000"	"Kansas"	"20"	981	2688418	36.5
	"2000"	"2000"	"Kentucky"	"21"	1470	4041769	36.4
	"2000"	"2000"	"Louisiana"	"22"	2136	4468976	47.8
	"2000"	"2000"	"Maine"	"23"	557	1274923	43.7
	"2000"	"2000"	"Maryland"	"24"	2069	5296486	39.1
	"2000"	"2000"	"Massachusetts"	"25"	2011	6349097	31.7
	"2000"	"2000"	"Michigan"	"26"	3654	9938444	36.8
	"2000"	"2000"	"Minnesota"	"27"	1600	4919479	32.5
	"2000"	"2000"	"Mississippi"	"28"	924	2844658	32.5
	"2000"	"2000"	"Missouri"	"29"	2105	5595211	37.6
	"2000"	"2000"	"Montana"	"30"	326	902195	36.1
	"2000"	"2000"	"Nebraska"	"31"	539	1711263	31.5
	"2000"	"2000"	"Nevada"	"32"	411	1998257	20.6
	"2000"	"2000"	"New Hampshire"	"33"	432	1235786	35.0
	"2000"	"2000"	"New Jersey"	"34"	3344	8414350	39.7
	"2000"	"2000"	"New Mexico"	"35"	622	1819046	34.2
	"2000"	"2000"	"New York"	"36"	5161	18976457	27.2
	"2000"	"2000"	"North Carolina"	"37"	2947	8049313	36.6
