"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Alabama"	"01"	45061	4447100	1013.3
	"2000"	"2000"	"Alaska"	"02"	2914	626932	464.8
	"2000"	"2000"	"Arizona"	"04"	40475	5130632	788.9
	"2000"	"2000"	"Arkansas"	"05"	28216	2673400	1055.4
	"2000"	"2000"	"California"	"06"	229443	33871648	677.4
	"2000"	"2000"	"Colorado"	"08"	27283	4301261	634.3
	"2000"	"2000"	"Connecticut"	"09"	30129	3405565	884.7
	"2000"	"2000"	"Delaware"	"10"	6875	783600	877.4
	"2000"	"2000"	"District of Columbia"	"11"	5984	572059	1046.0
	"2000"	"2000"	"Florida"	"12"	164361	15982378	1028.4
	"2000"	"2000"	"Georgia"	"13"	63866	8186453	780.1
	"2000"	"2000"	"Hawaii"	"15"	8289	1211537	684.2
	"2000"	"2000"	"Idaho"	"16"	9563	1293953	739.1
	"2000"	"2000"	"Illinois"	"17"	106632	12419293	858.6
	"2000"	"2000"	"Indiana"	"18"	55465	6080485	912.2
	"2000"	"2000"	"Iowa"	"19"	28060	2926324	958.9
	"2000"	"2000"	"Kansas"	"20"	24717	2688418	919.4
	"2000"	"2000"	"Kentucky"	"21"	39504	4041769	977.4
	"2000"	"2000"	"Louisiana"	"22"	41138	4468976	920.5
	"2000"	"2000"	"Maine"	"23"	12354	1274923	969.0
	"2000"	"2000"	"Maryland"	"24"	43750	5296486	826.0
	"2000"	"2000"	"Massachusetts"	"25"	56678	6349097	892.7
	"2000"	"2000"	"Michigan"	"26"	86951	9938444	874.9
	"2000"	"2000"	"Minnesota"	"27"	37689	4919479	766.1
	"2000"	"2000"	"Mississippi"	"28"	28649	2844658	1007.1
	"2000"	"2000"	"Missouri"	"29"	54860	5595211	980.5
	"2000"	"2000"	"Montana"	"30"	8096	902195	897.4
	"2000"	"2000"	"Nebraska"	"31"	14992	1711263	876.1
	"2000"	"2000"	"Nevada"	"32"	15256	1998257	763.5
	"2000"	"2000"	"New Hampshire"	"33"	9697	1235786	784.7
	"2000"	"2000"	"New Jersey"	"34"	74783	8414350	888.8
	"2000"	"2000"	"New Mexico"	"35"	13418	1819046	737.6
