"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	246	28608	859.9
	"1999"	"1999"	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	360	29953	1201.9
	"1999"	"1999"	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	53	115180	46.0
	"1999"	"1999"	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	67	119931	55.9
	"1999"	"1999"	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	84	306300	27.4
	"1999"	"1999"	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	100	323117	30.9
	"1999"	"1999"	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	232	314307	73.8
	"1999"	"1999"	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	517	315447	163.9
	"1999"	"1999"	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	323	306706	105.3
	"1999"	"1999"	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	567	298432	190.0
	"1999"	"1999"	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	725	349116	207.7
	"1999"	"1999"	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	1158	333712	347.0
	"1999"	"1999"	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	1159	299641	386.8
	"1999"	"1999"	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	1991	282616	704.5
	"1999"	"1999"	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	1930	215637	895.0
	"1999"	"1999"	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	3102	193194	1605.6
	"1999"	"1999"	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	3784	176413	2145.0
	"1999"	"1999"	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	5048	138796	3637.0
	"1999"	"1999"	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	6557	121739	5386.1
	"1999"	"1999"	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	5907	72744	8120.3
	"1999"	"1999"	"Alabama"	"01"	"85+ years"	"85+"	"Female"	"F"	7486	48201	15530.8
	"1999"	"1999"	"Alabama"	"01"	"85+ years"	"85+"	"Male"	"M"	3356	17685	18976.5
	"1999"	"1999"	"Alaska"	"02"	"< 1 year"	"1"	"Female"	"F"	22	3509	627.0
	"1999"	"1999"	"Alaska"	"02"	"< 1 year"	"1"	"Male"	"M"	16	3759	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	14	33522	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	39	38159	102.2
	"1999"	"1999"	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	16	36052	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	63	39508	159.5
	"1999"	"1999"	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	54	48787	110.7
	"1999"	"1999"	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	109	52176	208.9
	"1999"	"1999"	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	88	37958	231.8
	"1999"	"1999"	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	155	43643	355.2
	"1999"	"1999"	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	117	17199	680.3
	"1999"	"1999"	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	200	20224	988.9
	"1999"	"1999"	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	163	8921	1827.1
	"1999"	"1999"	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	275	9045	3040.4
	"1999"	"1999"	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	214	4755	4500.5
	"1999"	"1999"	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	229	3715	6164.2
	"1999"	"1999"	"Alaska"	"02"	"85+ years"	"85+"	"Female"	"F"	176	1328	13253.0
	"1999"	"1999"	"Alaska"	"02"	"85+ years"	"85+"	"Male"	"M"	96	689	13933.2
	"1999"	"1999"	"Arizona"	"04"	"< 1 year"	"1"	"Female"	"F"	207	35096	589.8
	"1999"	"1999"	"Arizona"	"04"	"< 1 year"	"1"	"Male"	"M"	292	36782	793.9
	"1999"	"1999"	"Arizona"	"04"	"1-4 years"	"1-4"	"Female"	"F"	37	134756	27.5
	"1999"	"1999"	"Arizona"	"04"	"1-4 years"	"1-4"	"Male"	"M"	50	141633	35.3
	"1999"	"1999"	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	43	331346	13.0
	"1999"	"1999"	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	70	349052	20.1
	"1999"	"1999"	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	134	314965	42.5
	"1999"	"1999"	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	415	345729	120.0
	"1999"	"1999"	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	191	334560	57.1
	"1999"	"1999"	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	547	363737	150.4
	"1999"	"1999"	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	494	356786	138.5
	"1999"	"1999"	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	992	366185	270.9
	"1999"	"1999"	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	881	295209	298.4
	"1999"	"1999"	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	1574	284430	553.4
	"1999"	"1999"	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	1520	216244	702.9
	"1999"	"1999"	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	2376	196695	1208.0
	"1999"	"1999"	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	3189	186950	1705.8
	"1999"	"1999"	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	4407	166581	2645.6
	"1999"	"1999"	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	5568	128856	4321.1
	"1999"	"1999"	"Arizona"	"04"	"75-84 years"	"75-84"	"Male"	"M"	6136	98181	6249.7
	"1999"	"1999"	"Arizona"	"04"	"85+ years"	"85+"	"Female"	"F"	5822	43159	13489.7
	"1999"	"1999"	"Arizona"	"04"	"85+ years"	"85+"	"Male"	"M"	3492	21605	16162.9
	"1999"	"1999"	"Arkansas"	"05"	"< 1 year"	"1"	"Female"	"F"	120	17390	690.1
	"1999"	"1999"	"Arkansas"	"05"	"< 1 year"	"1"	"Male"	"M"	171	18240	937.5
	"1999"	"1999"	"Arkansas"	"05"	"1-4 years"	"1-4"	"Female"	"F"	24	70584	34.0
	"1999"	"1999"	"Arkansas"	"05"	"1-4 years"	"1-4"	"Male"	"M"	39	73571	53.0
	"1999"	"1999"	"Arkansas"	"05"	"5-14 years"	"5-14"	"Female"	"F"	37	183808	20.1
	"1999"	"1999"	"Arkansas"	"05"	"5-14 years"	"5-14"	"Male"	"M"	72	194169	37.1
	"1999"	"1999"	"Arkansas"	"05"	"15-24 years"	"15-24"	"Female"	"F"	107	184770	57.9
	"1999"	"1999"	"Arkansas"	"05"	"15-24 years"	"15-24"	"Male"	"M"	286	191831	149.1
	"1999"	"1999"	"Arkansas"	"05"	"25-34 years"	"25-34"	"Female"	"F"	147	173860	84.6
	"1999"	"1999"	"Arkansas"	"05"	"25-34 years"	"25-34"	"Male"	"M"	324	174690	185.5
	"1999"	"1999"	"Arkansas"	"05"	"35-44 years"	"35-44"	"Female"	"F"	341	198125	172.1
	"1999"	"1999"	"Arkansas"	"05"	"35-44 years"	"35-44"	"Male"	"M"	627	193803	323.5
	"1999"	"1999"	"Arkansas"	"05"	"45-54 years"	"45-54"	"Female"	"F"	634	172457	367.6
	"1999"	"1999"	"Arkansas"	"05"	"45-54 years"	"45-54"	"Male"	"M"	1095	165143	663.1
	"1999"	"1999"	"Arkansas"	"05"	"55-64 years"	"55-64"	"Female"	"F"	1134	130481	869.1
	"1999"	"1999"	"Arkansas"	"05"	"55-64 years"	"55-64"	"Male"	"M"	1790	119235	1501.2
	"1999"	"1999"	"Arkansas"	"05"	"65-74 years"	"65-74"	"Female"	"F"	2273	108212	2100.5
	"1999"	"1999"	"Arkansas"	"05"	"65-74 years"	"65-74"	"Male"	"M"	3116	89093	3497.5
	"1999"	"1999"	"Arkansas"	"05"	"75-84 years"	"75-84"	"Female"	"F"	4082	78096	5226.9
	"1999"	"1999"	"Arkansas"	"05"	"75-84 years"	"75-84"	"Male"	"M"	3999	50454	7926.0
	"1999"	"1999"	"Arkansas"	"05"	"85+ years"	"85+"	"Female"	"F"	4993	32524	15351.7
	"1999"	"1999"	"Arkansas"	"05"	"85+ years"	"85+"	"Male"	"M"	2478	13279	18661.0
	"1999"	"1999"	"California"	"06"	"< 1 year"	"1"	"Female"	"F"	1255	233042	538.5
	"1999"	"1999"	"California"	"06"	"< 1 year"	"1"	"Male"	"M"	1527	245173	622.8
	"1999"	"1999"	"California"	"06"	"1-4 years"	"1-4"	"Female"	"F"	257	974508	26.4
	"1999"	"1999"	"California"	"06"	"1-4 years"	"1-4"	"Male"	"M"	341	1020651	33.4
	"1999"	"1999"	"California"	"06"	"5-14 years"	"5-14"	"Female"	"F"	348	2514302	13.8
	"1999"	"1999"	"California"	"06"	"5-14 years"	"5-14"	"Male"	"M"	460	2642100	17.4
	"1999"	"1999"	"California"	"06"	"15-24 years"	"15-24"	"Female"	"F"	762	2213579	34.4
	"1999"	"1999"	"California"	"06"	"15-24 years"	"15-24"	"Male"	"M"	2323	2415040	96.2
	"1999"	"1999"	"California"	"06"	"25-34 years"	"25-34"	"Female"	"F"	1241	2524506	49.2
	"1999"	"1999"	"California"	"06"	"25-34 years"	"25-34"	"Male"	"M"	3075	2681091	114.7
	"1999"	"1999"	"California"	"06"	"35-44 years"	"35-44"	"Female"	"F"	3160	2664669	118.6
	"1999"	"1999"	"California"	"06"	"35-44 years"	"35-44"	"Male"	"M"	5990	2724664	219.8
	"1999"	"1999"	"California"	"06"	"45-54 years"	"45-54"	"Female"	"F"	5997	2098585	285.8
	"1999"	"1999"	"California"	"06"	"45-54 years"	"45-54"	"Male"	"M"	9958	2039564	488.2
	"1999"	"1999"	"California"	"06"	"55-64 years"	"55-64"	"Female"	"F"	9299	1306104	712.0
	"1999"	"1999"	"California"	"06"	"55-64 years"	"55-64"	"Male"	"M"	13228	1210273	1093.0
	"1999"	"1999"	"California"	"06"	"65-74 years"	"65-74"	"Female"	"F"	18652	1025226	1819.3
	"1999"	"1999"	"California"	"06"	"65-74 years"	"65-74"	"Male"	"M"	23025	848582	2713.4
	"1999"	"1999"	"California"	"06"	"75-84 years"	"75-84"	"Female"	"F"	33573	738218	4547.8
	"1999"	"1999"	"California"	"06"	"75-84 years"	"75-84"	"Male"	"M"	32972	514855	6404.1
	"1999"	"1999"	"California"	"06"	"85+ years"	"85+"	"Female"	"F"	39927	282372	14139.9
	"1999"	"1999"	"California"	"06"	"85+ years"	"85+"	"Male"	"M"	21062	129071	16318.2
	"1999"	"1999"	"Colorado"	"08"	"< 1 year"	"1"	"Female"	"F"	189	28895	654.1
	"1999"	"1999"	"Colorado"	"08"	"< 1 year"	"1"	"Male"	"M"	223	30334	735.1
	"1999"	"1999"	"Colorado"	"08"	"1-4 years"	"1-4"	"Female"	"F"	29	111014	26.1
	"1999"	"1999"	"Colorado"	"08"	"1-4 years"	"1-4"	"Male"	"M"	49	116503	42.1
	"1999"	"1999"	"Colorado"	"08"	"5-14 years"	"5-14"	"Female"	"F"	48	292582	16.4
	"1999"	"1999"	"Colorado"	"08"	"5-14 years"	"5-14"	"Male"	"M"	55	308850	17.8
	"1999"	"1999"	"Colorado"	"08"	"15-24 years"	"15-24"	"Female"	"F"	140	279094	50.2
	"1999"	"1999"	"Colorado"	"08"	"15-24 years"	"15-24"	"Male"	"M"	311	308243	100.9
	"1999"	"1999"	"Colorado"	"08"	"25-34 years"	"25-34"	"Female"	"F"	203	308263	65.9
	"1999"	"1999"	"Colorado"	"08"	"25-34 years"	"25-34"	"Male"	"M"	404	337359	119.8
	"1999"	"1999"	"Colorado"	"08"	"35-44 years"	"35-44"	"Female"	"F"	424	361063	117.4
	"1999"	"1999"	"Colorado"	"08"	"35-44 years"	"35-44"	"Male"	"M"	830	368683	225.1
	"1999"	"1999"	"Colorado"	"08"	"45-54 years"	"45-54"	"Female"	"F"	708	292568	242.0
	"1999"	"1999"	"Colorado"	"08"	"45-54 years"	"45-54"	"Male"	"M"	1174	294342	398.9
	"1999"	"1999"	"Colorado"	"08"	"55-64 years"	"55-64"	"Female"	"F"	1086	165838	654.9
	"1999"	"1999"	"Colorado"	"08"	"55-64 years"	"55-64"	"Male"	"M"	1555	160411	969.4
